name,intelligence,strength,speed,durability,power,combat,full-name,aliases,image
A-Bomb,38,100,17,80,24,64,Richard Milhouse Jones,Rick Jones,https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg
Abe Sapien,88,28,35,65,100,85,Abraham Sapien,Langdon Everett CaulAbraham SapienLangdon Caul,https://www.superherodb.com/pictures2/portraits/10/100/956.jpg
Abin Sur,50,90,53,64,99,65,,Lagzia,https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg
Abomination,63,80,53,90,62,95,Emil Blonsky,Agent R-7Ravager of Worlds,https://www.superherodb.com/pictures2/portraits/10/100/1.jpg
Abraxas,88,63,83,100,100,55,Abraxas,-,https://www.superherodb.com/pictures2/portraits/10/100/181.jpg
Absorbing Man,38,80,25,100,98,64,Carl Creel,"Greithoth""Crusher"" CreelRocky DavisDynamite DavisLightningboltPrisoner #24957",https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg
Adam Monroe,63,10,12,100,100,64,,Takezo KenseiRichard Sanders,https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg
Adam Strange,69,10,33,40,37,50,Adam Strange,Warrior of Two WorldsSavior of Rann,https://www.superherodb.com/pictures2/portraits/10/100/626.jpg
Agent 13,null,46,null,null,null,null,Sharon Carter,-,https://www.superherodb.com/pictures2/portraits/10/100/167.jpg
Agent Bob,10,8,13,5,5,20,Bob,Bobagent of HydraBobagent of A.I.M,https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg
Agent Zero,75,28,38,80,72,95,Christoph Nord,Maverick,https://www.superherodb.com/pictures2/portraits/10/100/396.jpg
Air-Walker,50,85,100,85,100,40,Gabriel Lan,-,https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg
Ajax,56,48,35,80,34,55,Francis,"""Frankie""the A-Manthe Attending",https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg
Alan Scott,63,80,23,90,100,32,Alan Ladd Wellington Scott,Green LanternWhite KingSentinal,https://www.superherodb.com/pictures2/portraits/10/100/698.jpg
Alex Mercer,50,80,42,90,100,50,Alexander J. Mercer,PrototypeZuesBlacklight,https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg
Alex Woolsly,null,37,null,null,null,null,Alex Woolsly,-,https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg
Alfred Pennyworth,63,10,17,10,7,55,Alfred Thaddeus Crane Pennyworth,Alfred Beagle,https://www.superherodb.com/pictures2/portraits/10/100/628.jpg
Alien,50,28,42,90,57,60,Xenomorph,-,https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg
Allan Quatermain,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/630.jpg
Amazo,63,100,83,100,100,100,,Professor Ivos Amazing AndroidTimazoHumazoHourmazo,https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg
Ammo,null,null,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/184.jpg
Ando Masahashi,null,null,null,null,null,null,Ando Masahashi,Huggerz69Sidekick,https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg
Angel,75,30,58,90,100,75,Liam,AngelusTwilight,https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg
Angel,63,13,46,64,28,42,Warren Kenneth Worthington III,Formerly DeathDark AngelAngelAvenging AngelArchangel,https://www.superherodb.com/pictures2/portraits/10/100/829.jpg
Angel Dust,38,55,23,42,17,30,Christina,AngelDusty,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg
Angel Salvadore,38,10,28,28,56,60,Angel Salvadore Bohusk,Tempest,https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg
Angela,null,97,null,null,null,null,,-,https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg
Animal Man,56,48,47,85,73,80,Bernhard Baker,The Human Zoo; A-Man; The Man with Animal Powers,https://www.superherodb.com/pictures2/portraits/10/100/632.jpg
Annihilus,75,80,47,56,59,64,Annihilus,The Living Death That WalksLord of the Negative Zone,https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg
